,[Measurement,Info,Unnamed: 2,average_1,average_2
196,19:14:16,40.008183,116.477874,-92.61465863453806,-116.34682931726904
197,19:14:16,40.008182,116.47787,-91.89497991967873,-116.55958995983949
198,19:14:16,40.008182,116.477865,-91.99357429718869,-114.83258714859431
200,19:14:16,40.00818,116.477861,-91.57730923694791,-114.11235461847401
201,19:14:17,40.008178,116.477858,-90.88714859437755,-113.83897429718864
203,19:14:18,40.008166,116.477845,-92.04337349397589,-113.95188674698794
204,19:14:19,40.008161,116.47784,-93.91506024096383,-113.93983012048197
205,19:14:19,40.008157,116.477836,-89.9176706827309,-114.22203534136541
207,19:14:19,40.008154,116.477833,-88.89377510040163,-113.47878755020076
208,19:14:20,40.008152,116.477832,-91.03895582329312,-115.62587791164651
209,19:14:20,40.008151,116.477832,-93.36546184738955,-115.85533092369477
210,19:14:20,40.00815,116.477831,-93.8526104417671,-116.19870522088353
211,19:14:21,40.008149,116.47783,-94.88112449799199,-114.17236224899597
212,19:14:21,40.008148,116.47783,-94.35943775100392,-114.68251887550198
214,19:14:21,40.008147,116.477829,-94.34096385542168,-113.92208192771083
215,19:14:22,40.008147,116.477828,-93.33995983935742,-113.86627991967869
216,19:14:22,40.008146,116.477827,-92.80722891566263,-113.45661445783132
217,19:14:22,40.008146,116.477826,-93.19016064257025,-113.88698032128511
219,19:14:23,40.008146,116.477825,-92.6843373493976,-114.25596867469888
221,19:14:24,40.008145,116.477822,-81.36927710843368,-117.04353855421684
222,19:14:24,40.008145,116.477821,-84.65160642570282,-117.42490321285146
224,19:14:25,40.008144,116.477818,-83.57911646586352,-116.98035823293166
225,19:14:26,40.008144,116.477817,-87.1220883534137,-117.54924417670686
226,19:14:26,40.008144,116.477816,-83.32108433734945,-115.34884216867471
228,19:14:26,40.008144,116.477816,-84.59678714859439,-115.72939357429709
229,19:14:27,40.008143,116.477815,-81.83795180722902,-115.87847590361439
230,19:14:27,40.008143,116.477815,-81.30341365461847,-115.50560682730932
231,19:14:27,40.008143,116.477815,-83.15843373493989,-117.50911686747007
232,19:14:28,40.008143,116.477814,-83.53453815261047,-118.4696690763053
233,19:14:28,40.008142,116.477814,-84.2720883534136,-114.53474417670682
235,19:14:28,40.008142,116.477814,-83.91726907630516,-106.3272345381527
236,19:14:29,40.008142,116.477814,-83.38694779116469,-117.47337389558247
237,19:14:29,40.008142,116.477813,-85.47329317269077,-119.03494658634544
239,19:14:29,40.008142,116.477813,-82.93554216867462,-119.25767108433729
240,19:14:30,40.008141,116.477813,-83.54538152610445,-115.5030907630522
241,19:14:30,40.008141,116.477812,-84.067670682731,-117.14513534136543
242,19:14:30,40.00814,116.477812,-85.09096385542168,-119.29898192771084
243,19:14:31,40.00814,116.477811,-86.6493975903614,-119.46989879518078
244,19:14:31,40.008139,116.477811,-86.76285140562241,-118.83432570281119
246,19:14:31,40.008139,116.477811,-86.87831325301207,-118.66595662650603
247,19:14:32,40.008138,116.47781,-87.56285140562247,-117.87592570281119
248,19:14:32,40.008137,116.47781,-85.20542168674699,-119.39461084337353
250,19:14:32,40.008137,116.477809,-83.69437751004013,-118.19138875502023
251,19:14:33,40.008136,116.477809,-85.07389558232931,-117.2651477911647
252,19:14:33,40.008136,116.477808,-84.53313253012055,-118.38246626506032
253,19:14:33,40.008135,116.477808,-85.38293172690761,-117.5353658634539
